"platform","rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach"
instagram,76,Mark Wahlberg,28600000,"0.31",United States,Entertainment and Music Food Fitness and Health Celebrity,28600000
instagram,77,Salma Hayek Pinault,28500000,"1.29",United States,Actors Actor Creators & Celebrities,28500000
instagram,78,Lily Collins,28400000,"1.51",United States,Modeling Fashion Design,28400000
instagram,79,LA ROSALIA.vt,28100000,"7.25",United States,Music Actors,28100000
instagram,80,Alicia Keys,27600000,"0.3",United States,Entertainment and Music Beauty and Self Care Celebrity Modeling,27600000
instagram,81,Mike Tyson,27100000,"3.92",United States,Sports Fan Pages Public Figure Creators & Celebrities,27100000
instagram,82,Logan Paul,27100000,"1.8",United States,Entertainment and Music Product Showcase Video Blogger,27100000
instagram,83,Hilary Duff,26900000,"0.5",United States,Entertainment and Music Modeling Singer Actors,26900000
instagram,84,Jimmy Fallon,26700000,"0.58",United States,Entertainment and Music TV Shows Music Humor,26700000
instagram,86,Hannah Stocking,26400000,"0.47",United States,Entertainment and Music Funny Parenting Modeling,26400000
instagram,85,Paris Hilton,26400000,"0.89",United States,Entertainment and Music Fashion and Accessories Creators & Celebrities,26400000
instagram,87,Nina Dobrev,26300000,"1.7",United States,Actors Artist,26300000
instagram,88,Sadie Sink,26200000,"10.51",United States,Entertainment and Music Lifestyle Modeling,26200000
instagram,89,Lili Reinhart,26100000,"2.71",United States,Acting and Drama Fitness and Health Celebrity Actors,26100000
tiktok,19,DAVID DOBRIK,26000000,"0",United States,Entertainment and Music Funny,7800000
tiktok,18,Doja Cat,26000000,"0.1",United States,Entertainment and Music,7800000
instagram,90,King Bach,25800000,"0.46",United States,Entertainment and Music Music Producers Modeling,25800000
instagram,91,Jake Paul,25600000,"1.17",United States,Entertainment and Music Sports Parenting Animals & Pets,25600000
instagram,92,Future PLUTO Hendrix,25300000,"5.71",United States,Singer Rap,25300000
instagram,94,Madelaine Petsch,24800000,"4.28",United States,Celebrity Actors,24800000
instagram,93,Sommer Ray,24800000,"0.39",United States,Fitness and Health Beauty and Self Care Business and Finance Modeling,24800000
instagram,95,Noah Schnapp,24600000,"10.41",United States,Actors Film Actor,24600000
instagram,97,Amber Rose,24500000,"0.12",United States,Beauty and Self Care Entertainment and Music Parenting Actors,24500000
instagram,96,Victoria Justice,24500000,"0.57",United States,Entertainment and Music Celebrity Actors Modeling,24500000
instagram,98,Doja Cat,24500000,"3.85",United States,Entertainment and Music Music Modeling Entertainment,24500000
instagram,100,Lucy Hale,24400000,"0.53",United States,Celebrity Pets Actors,24400000
instagram,99,Susane Damouni.dxoxo,24400000,"5.3",United States,Beauty and Self Care Fashion and Accessories Life and Society Bikini,24400000
tiktok,20,Terry Crews,24100000,"0.4",United States,Entertainment and Music Celebrity,7200000
tiktok,21,Jacob Sartorius,23700000,"0",United States,Entertainment and Music,7100000
tiktok,22,Lauren Godwin,22600000,"0.3",United States,Entertainment and Music family,6800000
tiktok,23,Lance Stewart,22100000,"0",United States,Entertainment and Music,6600000
tiktok,24,ROMINA,22000000,"0.2",United States,Entertainment and Music,6600000
tiktok,25,Bryce Hall,21500000,"0",United States,Entertainment and Music,6500000
tiktok,26,Duke Depp,20800000,"0",United States,Entertainment and Music,6200000
tiktok,27,Nicki Minaj,20300000,"1.4",United States,Entertainment and Music,6100000
tiktok,28,Tayler Holder,20200000,"0",United States,Entertainment and Music,6100000
tiktok,29,Olivia Rodrigo,20000000,"9",United States,Entertainment and Music,6000000
tiktok,30,Miley Cyrus,18800000,"1.2",United States,Entertainment and Music,5600000
tiktok,31,Joe Bartolozzi.bartolozzi,18500000,"0",United States,Entertainment and Music,5600000
tiktok,32,Madison Beer,18400000,"4.7",United States,Entertainment and Music Beauty and Self Care,5500000
tiktok,33,LeendaDong,17600000,"1.3",United States,Entertainment and Music Funny,5300000
tiktok,34,MADI MONROE,17500000,"0",United States,Fashion and Accessories,5300000
tiktok,35,Camila Cabello,17300000,"3.1",United States,Entertainment and Music,5200000
tiktok,36,Austin,16900000,"0",United States,Entertainment and Music,5100000
tiktok,37,Charlie Puth,16600000,"0",United States,Entertainment and Music,5000000
tiktok,38,Post Malone,16300000,"1.5",United States,Entertainment and Music,4900000
tiktok,39,Savage ,16200000,"0",United States,Business and Finance,4900000
tiktok,40,"Sandra Lee, MD",15600000,"0",United States,Beauty and Self Care Education,4700000
tiktok,41,IdeaTimeEverywhere,15300000,"0",United States,Education,4600000
tiktok,42,The DAmelio Family,15100000,"0",United States,Entertainment and Music family,4500000
tiktok,43,Bad Barbie ,14600000,"0",United States,Beauty and Self Care Entertainment and Music,4400000
tiktok,44,Nikita Dragun,14400000,"4.3",United States,Beauty and Self Care,4300000
tiktok,45,Gary Vaynerchuk,13800000,"0",United States,Education,4100000
tiktok,46,Audrey Hopkins,13600000,"0",United States,Animation and Cosplay Arts and Crafts,4100000
tiktok,47,Tabs,13500000,"2.3",United States,Entertainment and Music,4100000
tiktok,48,MisterMainer,13300000,"0",United States,Nature,4000000
tiktok,51,Maverick Baker,13000000,"0",United States,Entertainment and Music,3900000
tiktok,50,Cowbellys Memes,13000000,"0",United States,Funny,3900000
tiktok,49,Jacob Colvin.pnw,13000000,"0",United States,Fitness and Health,3900000
tiktok,52,Nickelodeon,12900000,"0",United States,Entertainment and Music,3900000
tiktok,53,House of Highlights,12700000,"0",United States,Sports Entertainment and Music,3800000
tiktok,56,Steve Harvey,12700000,"1",United States,Entertainment and Music,3800000
tiktok,55,King Science.science,12700000,"0.1",United States,Education,3800000
tiktok,54,Emily Mariko,12700000,"2.9",United States,Fashion and Accessories Food Food and Drink,3800000
tiktok,57,sebastianbails,12600000,"0",United States,Entertainment and Music,3800000
tiktok,58,EHIZ,12600000,"0",United States,Acting and Drama Entertainment and Music Funny Celebrity,3800000
tiktok,59,NLE choppa,12300000,"0",United States,Entertainment and Music,3700000
tiktok,60,Dhar Mann.mann,12200000,"0",United States,Life and Society,3700000
tiktok,63,anna x,12000000,"1.3",United States,Fashion and Accessories,3600000
tiktok,61,BABY J,12000000,"0",United States,Entertainment and Music,3600000
tiktok,62,Sofie Dossi,12000000,"0.7",United States,Fitness and Health Entertainment and Music,3600000
tiktok,64,Pinup pixie,11900000,"1",United States,Fashion and Accessories,3600000
tiktok,65,Megan Thee Stallion,11800000,"0.1",United States,Entertainment and Music,3500000
tiktok,66,Liane V,11700000,"0.2",United States,Fashion and Accessories,3500000
tiktok,67,The Plastique Tiara,11600000,"0.3",United States,Beauty and Self Care Entertainment and Music,3500000
tiktok,68,Anxiety couple,11200000,"0",United States,family Entertainment and Music,3400000
tiktok,69,Ellie Zeiler,10800000,"0",United States,Beauty and Self Care,3200000
tiktok,70,Caleb Coffee,10500000,"0",United States,Entertainment and Music,3200000
tiktok,71, DIANA ASTER ,10400000,"0",United States,Beauty and Self Care,3100000
tiktok,72,Justina Valentine,10300000,"0",United States,Music,3100000
tiktok,73,Hope Schwing,10000000,"0",United States,Acting and Drama,3000000
tiktok,74,Bill Nye,9900000,"4.5",United States,Entertainment and Music,3000000
tiktok,75,CHIKYBOMBOMREAL,9900000,"0",United States,Entertainment and Music Funny,3000000
tiktok,76,Bruno Mars,9700000,"7.2",United States,Entertainment and Music Arts and Crafts,2900000
tiktok,77,Ruthbell,9600000,"0.1",United States,Games Entertainment and Music Video Gaming,2900000
tiktok,78,IOHA,9500000,"0",United States,Education,2900000
tiktok,79,Mariah Carey,9400000,"9.8",United States,Entertainment and Music,2800000
tiktok,82,Simba Jones,9200000,"0",United States,Entertainment and Music,2800000
tiktok,80,Montana Tucker,9200000,"0.5",United States,Entertainment and Music Celebrity Music,2800000
tiktok,81,Kylie King,9200000,"0.1",United States,Entertainment and Music,2800000
tiktok,83,kat.vs.damfworld on IG,9100000,"0",United States,Entertainment and Music,2700000
tiktok,84,Casey Simpson,9000000,"0",United States,Entertainment and Music,2700000
tiktok,85,ThomasSanders,8900000,"0",United States,Entertainment and Music,2700000
tiktok,86,Money Lawyer Erika,8400000,"0.1",United States,Finance,2500000
tiktok,88,Xchitl Gmez.gomez,8300000,"0",United States,Entertainment and Music,2500000
tiktok,87,Lyna Perez,8300000,"3.1",United States,Beauty and Self Care,2500000
tiktok,89,Now United,8200000,"0",United States,Entertainment and Music,2500000
tiktok,90,Samuel Grubbs,8100000,"10.7",United States,Entertainment and Music,2400000
tiktok,91,noor,7900000,"0.3",United States,Entertainment and Music,2400000
tiktok,92,Mark Anastasio,7700000,"0",United States,Entertainment and Music,2300000
tiktok,93,Josh Peck,7600000,"0",United States,Entertainment and Music,2300000
tiktok,94,Michelle Kennelly,7600000,"0",United States,Fashion and Accessories Entertainment and Music Romance and Wedding,2300000
tiktok,97,SWAGGY WOLFDOG ,7500000,"0",United States,Entertainment and Music,2300000
tiktok,95,Brandon Conner,7500000,"0",United States,Entertainment and Music,2300000
tiktok,96,Mason Adams (Glasco),7500000,"0",United States,Travel,2300000
tiktok,98,Tracy Joseph.oj,7400000,"0",United States,Entertainment and Music,2200000
tiktok,99,CAROLINA GUERRERO,7300000,"0",United States,Entertainment and Music Funny,2200000
tiktok,100,Asher Angel,7200000,"0",United States,Acting and Drama,2200000
threads,2,KATY PERRY,1700000,"0",United States,Entertainment & Music,509100
threads,1,DR. SHAQUILLE O'NEAL Ed.D.,1700000,"0.22",United States,Sports,519600
threads,3,Mia K.,1300000,"0.15",United States,Entertainment & Music,393900
threads,4,FUCKJERRY,1100000,"0.77",United States,Entertainment & Music Funny,327100
threads,5,billboard,914200,"0.3",United States,Entertainment & Music,274300
threads,6,Los Angeles Lakers,830100,"0.39",United States,Sports,249000
threads,7,Positive & Motivational Quotes,790800,"0.26",United States,Education Life & Society,237200
threads,8,Gabrielle Union-Wade,784700,"1.04",United States,Entertainment & Music Fashion & Accessories,235400
threads,9,FashionNova.com,737400,"0.12",United States,Fashion & Accessories,221200
threads,10,WASTED,707700,"0.91",United States,Funny Entertainment & Music,212300
threads,11,The Trillionaire Life™,652600,"0.39",United States,Finance,195800
threads,12,Betches Media,624700,"0.41",United States,Entertainment & Music,187400
threads,13,Metallica,614200,"0.99",United States,Entertainment & Music,184300
threads,14,jackharlow,609100,"0.97",United States,Entertainment & Music,182700
threads,15,WE THE URBAN,599100,"1.26",United States,Fashion & Accessories,179700
threads,16,Atl..Da Crew RIP RICHIE,576400,"0.81",United States,Entertainment & Music Comedy,172900
threads,17,Jake Paul,566600,"0.48",United States,Entertainment & Music Sports,170000
threads,18,Anastasia Beverly Hills,557100,"0.07",United States,Beauty & Self Care,167100
threads,19,James Charles,552500,"0.38",United States,Beauty & Self Care,165800
threads,20,René Pérez Joglar,543100,"0.63",United States,Entertainment & Music,162900
threads,21,Hannah Stocking,539900,"0.27",United States,Entertainment & Music Funny,162000
threads,22,Mariah Carey,525400,"3.15",United States,Entertainment & Music,157600
threads,23,HoodClips,518400,"0.38",United States,Entertainment & Music Funny,155500
threads,24,travisbarker,512400,"0.69",United States,Entertainment & Music,153700
threads,25,DON OMAR aka KONG,488800,"0.27",United States,Entertainment & Music,146600
threads,26,Upworthy,476200,"0.24",United States,Life & Society,142900
threads,27,Sommer Ray,465200,"0.21",United States,Fitness & Health Beauty & Self Care,139600
threads,28,"Andrew Huberman, Ph.D.",464300,"0.8",United States,Education Fitness & Health,139300
threads,29,Alex Morgan,462400,"0.82",United States,Sports,138700
threads,30,Devon Rodriguez,450400,"0.28",United States,Arts & Crafts,135100
threads,31,History Photographed,440900,"0.49",United States,Education,132300
threads,32,FunnyMike,440100,"0.54",United States,Entertainment & Music,132000
threads,33,Betch,431100,"2.93",United States,Entertainment & Music,129300
threads,34,THE HOME EDIT ®,412800,"0.1",United States,Home & Garden,123800
threads,35,TrustGodBro,400100,"1.28",United States,Religion,120000
threads,36,Too Faced Cosmetics,398200,"0.05",United States,Beauty & Self Care,119500
threads,37,Mauricio Ochmann,388100,"0.3",United States,Fashion & Accessories,116400
threads,38,Bony,386600,"1.8",United States,Sports,116000
threads,39,Miami HEAT,369500,"0.21",United States,Sports,110800
threads,40,WeRateDogs,365400,"5.13",United States,Animals,109600
threads,41,Karen Kardasha,362900,"0.18",United States,Funny,108900
threads,42,Neil Patrick Harris,360800,"0.37",United States,Arts & Crafts Life & Society,108200
threads,43,HEIR JORDYN,352900,"0.77",United States,Fashion & Accessories Beauty & Self Care,105900
threads,44,NYT Cooking,351500,"0.21",United States,Food,105400
threads,45,Boston Celtics,350900,"0.26",United States,Sports,105300
threads,46,ONE Championship,338800,"0.15",United States,Sports,101600
threads,47,Niharika Nm,334600,"0.53",United States,Fashion & Accessories,100400
threads,48,Grant Cardone,332000,"0.19",United States,Finance,99600
threads,49,Jen Selter,331200,"0.23",United States,Fitness & Health,99400
threads,50,Rob Gronkowski,322600,"0.48",United States,Sports,96800
threads,51,AGNEZ MO,321600,"0.8",United States,Entertainment & Music,96500
threads,52,POLITICO,320300,"0.23",United States,Education Politics,96100
threads,53,Cole Walliser,310300,"0.14",United States,Entertainment & Music Photography,93100
threads,54,Morphe,308800,"0.03",United States,Beauty & Self Care Product Showcase,92600
threads,55,ColourPop Cosmetics,303200,"0.2",United States,Beauty & Self Care,90900
threads,56,Target,302700,"0.38",United States,Product Showcase,90800
threads,57,HIGHSNOBIETY,298100,"0.22",United States,Fashion & Accessories Arts & Crafts Music,89400
threads,58,The Professor,296800,"0.15",United States,Entertainment & Music Sports Education Product Showcase,89000
threads,59,CNBC,292900,"0.04",United States,Finance,87900
threads,60,Funny & Relatable Memes!,291400,"0.08",United States,Entertainment & Music,87400
threads,61,NHL,290200,"0.07",United States,Sports,87100
threads,62,South Park,289700,"1.02",United States,Entertainment & Music,86900
threads,63,Ulta Beauty,287700,"0.12",United States,Beauty & Self Care Product Education Product Showcase,86300
threads,64,Dani Ospina,286700,"0.19",United States,Fashion & Accessories,86000
threads,65,Walt Disney Animation Studios,280500,"0.6",United States,Animation & Cosplay Entertainment & Music,84100
threads,66,Paula | Makeup Travel Skincare Beauty Tutorials,279400,"0.18",United States,Beauty & Self Care,83800
threads,67,JACOB & CO.,273100,"0",United States,Fashion & Accessories,81900
threads,68,Simeon Panda,269500,"0.47",United States,Fitness & Health,80900
threads,69,Farah Merhi,263300,"0.38",United States,Home & Garden Product Showcase,79000
